"主题","回复用户","回复内容"
"感恩 感谢大家的陪伴喜爱和支持","杰森威廉姆斯白巧克力","逆风翻盘，向阳而生，恭喜4AM TPP ！！！！发自虎扑Android客户端"
"感恩 感谢大家的陪伴喜爱和支持","iked999","恭喜4AM 。。。"
"感恩 感谢大家的陪伴喜爱和支持","xc大魔王","4am最棒！蜂哥ob果然厉害！发自虎扑iPhone客户端"
"感恩 感谢大家的陪伴喜爱和支持","iFTY牛逼","恭喜恭喜4am发自虎扑Android客户端"
"感恩 感谢大家的陪伴喜爱和支持","书上说天下无不散宴席","咻，哪一箭回来了发自虎扑Android客户端"
"感恩 感谢大家的陪伴喜爱和支持","笔锋W丹青","4AM牛逼！绝地反击真的太燃了！发自虎扑Android客户端"
"感恩 感谢大家的陪伴喜爱和支持","凉辰槿梦","错错错错错发自虎扑iPhone客户端"
"[流言板]Lstars电子竞技俱乐部官博宣布拒绝参加赛程故意冲突的赛事","clbb","支持  平台真的贼恶心"
"[流言板]Lstars电子竞技俱乐部官博宣布拒绝参加赛程故意冲突的赛事","mvpol","a总还是有魄力啊发自虎扑Android客户端"
"[流言板]Lstars电子竞技俱乐部官博宣布拒绝参加赛程故意冲突的赛事","OURUR","//Lgd转发微博//omg转发微博//4am转发微博//snaketc转发微博//17转发微博发自虎扑iPhone客户端"
"[流言板]Lstars电子竞技俱乐部官博宣布拒绝参加赛程故意冲突的赛事","空岩啸","没毛病，挺A总阿玛尼就是有血性"
"[流言板]Lstars电子竞技俱乐部官博宣布拒绝参加赛程故意冲突的赛事","古木sitter","a总有魄力，如果所有战队，至少是T1战队能够联合起来抵制平台恶意竞争，那么整个竞技环境应该会好很多发自虎扑Android客户端"
"[流言板]Lstars电子竞技俱乐部官博宣布拒绝参加赛程故意冲突的赛事","小连云","斗鱼黄金大奖赛早就进行了，是说的快手吧发自手机虎扑 m.hupu.com"
"[流言板]Lstars电子竞技俱乐部官博宣布拒绝参加赛程故意冲突的赛事","Armanini","引用66楼 @zxcasdqe 发表的:lstar 没进黄金赛       这种都有人点亮  nc真多斗鱼水军？？发自虎扑iPhone客户端"
"[流言板]Lstars电子竞技俱乐部官博宣布拒绝参加赛程故意冲突的赛事","Armanini","引用33楼 @北方椰子 发表的:熊猫、斗鱼的比赛都没打进决赛，何来弃赛一说？我们就是放弃了斗鱼的去打的虎牙的发自虎扑iPhone客户端"
"为什么虎扑不自己组建一支队？","c拐角遇到你c","然后,把流量队的粉丝赶走? 然后想把这里变成一个战队内部BBS?  你想要一个大海,还是只想要一个池塘???哎,"
"为什么虎扑不自己组建一支队？","怀表停了","投资要有收益，现在吃鸡俱乐部基本都是在赔钱，虎扑不像B站那么财大气粗。"
"为什么虎扑不自己组建一支队？","nba是盘生意","引用1楼 @抱抱抱抱包 发表的:楼主做老板，出钱建基地。欧了我想过 可有钱没从商经验发自虎扑iPhone客户端"
"为什么虎扑不自己组建一支队？","登等灯等灯","引用5楼 @nba是盘生意 发表的:我想过 可有钱没从商经验虎扑发个帖子，经理，教练，领队，队友，煮饭阿姨都有了。发自虎扑iPhone客户端"
"为什么虎扑不自己组建一支队？","高价回收二手倍镜","引用3楼 @c拐角遇到你c 发表的:然后,把流量队的粉丝赶走? 然后想把这里变成一个战队内部BBS?  你想要一个大海,还是只想要一个池塘???哎,文化人说话就是不一样，大海啊池塘的，都是九年义务教育，为什么你这么优秀发自虎扑iPhone客户端"
"你们买了哪个箱子的98k当皮肤呀？","路费先生","买了shroud的 另一个人品太差了 不买发自虎扑iPhone客户端"
"看到出新皮肤了！告诉你手机怎么买！","细波o阿扎尔","引用12楼 @Dream梓晨 发表的:游戏内直接买可以吗？ 必得2个皮肤？是必得！  游戏中就在买钥匙的边上有两个箱子    对应的就是我发图的四个皮肤发自虎扑iPhone客户端"
"看到出新皮肤了！告诉你手机怎么买！","猗犽小天使","应该挺多人买的，到时候捡别人的就行了发自虎扑iPhone客户端"
"强力推荐，第一次看joy老师直播，立马被圈粉了","IssaczzZ","Joy老师太接地气了发际线特别抢眼（小声比比）发自虎扑iPhone客户端"
"下次pcpi就是17和Fga一同闪耀世界之时","六月的圣城很美","这游戏的热度，有点悲观，有可能没有下次发自虎扑Android客户端"
"[流言板]全球范围内绝地求生玩家数量下降了近50%","狗都笑了","自己作死  关个人交易"
"强力推荐，第一次看joy老师直播，立马被圈粉了","wanwan88","引用2楼 @wanwan88 发表的:说腾讯要组一个教练团给4am和omg而且joy应该在教练团里，他简单说了下教练团作用，说不会打乱各个战队战术，主要是提供国外战队数据参数信息，以及给中国队队员心灵按摩，哈哈哈"
"强力推荐，第一次看joy老师直播，立马被圈粉了","xyzVenus","引用16楼 @路人乙cb 发表的:joy没话说，有个7911的房管是真的睿智，瞎比封人的，真的招黑我服辣，“OMG吊打4AM，不开玩笑”“这个冠军一定出了不少钱”“4AM出国就是丢脸的”这样的弹幕，都要我们骂一顿房管他才会封，到了你的嘴里就变成了一个带着7911牌子的人随意封人，什么叫张口就来我算是了解了，当然，如若你觉得我是张口就来，那么你说是，就是吧。发自手机虎扑 m.hupu.com"
"强力推荐，第一次看joy老师直播，立马被圈粉了","wanwan88","说腾讯要组一个教练团给4am和omg"
"强力推荐，第一次看joy老师直播，立马被圈粉了","GDUT_XH","引用16楼 @路人乙cb 发表的:joy没话说，有个7911的房管是真的睿智，瞎比封人的，真的招黑表示在现场而且我认为经纪人封的没毛病。封的都是在joy老师直播间带4am或者别的战队节奏的，有什么问题？别人的直播间不该客气点？如果不封那joy老师多尴尬，满屏幕都是说Long怎样怎样，4AM怎样怎样。另外多嘴问一句是不是你自己被封了？←_←发自虎扑Android客户端"
"下次pcpi就是17和Fga一同闪耀世界之时","anbaile","别，国服迟迟不出，这游戏能挺一年？发自虎扑iPhone客户端"
"[流言板]全球范围内绝地求生玩家数量下降了近50%","怀表停了","其实我觉得也不是全怪外挂。。外挂最猖獗的时候是过年前后，那时候玩家人数达到顶峰。。说白了，跟外挂关系不大，因为外挂一直有，而且最近外挂比之前还少了。。主要原因还是有不少人玩腻了，就跟OW一样，淘汰了一些跟风的玩家，留下的都是忠实用户。。那些尝过新鲜感的人，慢慢都会离开的。。国服出来后还会有一大批进来享受低延迟无挂的环境的，然后半年之后继续淘汰，应该就会形成稳定的玩家群了。。"
"[流言板]全球范围内绝地求生玩家数量下降了近50%","Kyrie艾榮","我从一开始每天玩几个小时的狂热玩家变成了只看比赛的云玩家了 不是不喜欢这游戏 只是身边的人不玩了 自己也没太大心思每天去沉迷这个游戏 等到国服出来 无延迟可能会再回归吧"
"[流言板]全球范围内绝地求生玩家数量下降了近50%","葱吖撒吖","自己作死，外挂横行发自虎扑iPhone客户端"
"[流言板]全球范围内绝地求生玩家数量下降了近50%","第三章卅","游戏配置水准太高，游戏模式单一，外挂横行，网络延迟高，BUG修复太慢，自己作死"
"[流言板]OMG战队队员笑容发博：无论什么队，喜欢他们支持鼓励就完事了","曼联夺冠了嘛","说一句笑容很帅应该没有反对的吧发自虎扑Android客户端"
"[流言板]OMG战队队员笑容发博：无论什么队，喜欢他们支持鼓励就完事了","云天有河","大哥拍拍你的肩膀安慰你，但是他自己却学不会"
"[流言板]OMG战队队员笑容发博：无论什么队，喜欢他们支持鼓励就完事了","gaoxxmm","OMGlionkk：我承认，荣叔是职业选手中最帅之一，但是光帅是没女朋友的，还要枪法好，就像我！发自虎扑iPhone客户端"
"[流言板]OMG战队队员笑容发博：无论什么队，喜欢他们支持鼓励就完事了","皮皮虾我们上","引用5楼 @gaoxxmm 发表的:OMGlionkk：我承认，荣叔是职业选手中最帅之一，但是光帅是没女朋友的，还要枪法好，就像我！笑容:我承认小狮子枪法是最好的那波人，但枪法好是不够的，还要长的帅，就像我！发自虎扑Android客户端"
"[流言板]OMG战队队员笑容发博：无论什么队，喜欢他们支持鼓励就完事了","JoeyZhang159210","狙击大哥有点秀"
"[流言板]OMG战队队员笑容发博：无论什么队，喜欢他们支持鼓励就完事了","丑十一怪","狙击大哥真是天秀，哈哈哈哈来一句：omg强无敌发自虎扑iPhone客户端"
"[流言板]OMG战队队员笑容发博：无论什么队，喜欢他们支持鼓励就完事了","omg小狮子的小狐狸","引用5楼 @gaoxxmm 发表的:OMGlionkk：我承认，荣叔是职业选手中最帅之一，但是光帅是没女朋友的，还要枪法好，就像我！哈哈哈，我容叔需要一个女朋友，找不到就只有找男朋友了发自虎扑iPhone客户端"
